Лiневiча Яраслава Львовiча
Гарчака Вячаслава Мiхайлавiча
Гарэліка Юрыя Барысавiча
Гваздзя Iгара Уладзiмiравiча
Глазунова Сяргея Валер’евiча
Грабеню Дзмiтрыя Мiкалаевiча
Гута Сяргея Вячаслававiча
Гушчу Дзянiса Мiхайлавiча
Дайлiдзёнка Iгара Аляксандравіча
Дашкевiча Канстанціна Канстанцінавіча
Дашкевіча Уладзiмiра Уладзiмiравiча
Дварэцкую Ганну Мiкалаеўну
Дворнікава Сяргея Дзмiтрыевiча
Дзенісевіча Юрыя Генадзьевiча
Дзядзічкіна Мiхаiла Аляксандравiча
Зіміна Аляксея Аляксандравiча
Зіновенку Аляксандра Мiкалаевiча
Івашкевіча Уладзiмiра Мiкалаевiча
Казлова Паўла Уладзiмiравiча
Казлова Уладзiмiра Анатольевiча
Календу Аляксандра Iосiфавiча
Калiльца Эдуарда Аляксандравiча
Калінічэнку Аляксандра Уладзiмiравiча
Канановіча Андрэя Уладзiмiравiча
Канапацкага Мiкалая Канстанцiнавiча
Каплю Сяргея Аляксандравiча
Каралёва Аляксандра Яўгеньевiча
Карасевіча Вiктара Iосiфавiча
Касмовіча Юрыя Уладзiмiравiча
Кастрыцкага Паўла Вiктаравiча
Касьянава Аляксандра Уладзiмiравiча
Клачко Сяргея Раманавiча
Кліма Анатолiя Мар’янавiча
Коласа Максіма Мiхайлавiча
Краснова Сяргея Мiхайлавiча
Краўцова Аляксандра Анатольевiча
Кругленю Іну Георгiеўну
Крываносава Андрэя Уладзiмiравiча
Крывiцкага Сяргея Адамавiча
Крыкунова Iгара Леанiдавiча
Кубракова Iвана Уладзiмiравiча
Кудзёлку Андрэя Мiхайлавiча
Кудрова Андрэя Iванавiча
Кузьміна Андрэя Iванавiча
Кулікоўскага Георгiя Мiхайлавiча
Курбатава Уладзiмiра Фёдаравiча
Курыльчука Дзмiтрыя Пятровiча
Кучараву Валянцiну Яўгеньеўну
Лавіцкага Паўла Уладзiмiравiча
Лаўрыновіча Аляксандра Анатольевiча
Лебедзева Віталiя Леанiдавiча
Лебедзева Сяргея Пятровiча
!=Даніл: Кузьм
Ліпніцкага Iгара Аляксандравiча
Лісіцкага Паўла Яўгеньевiча
Лук’яновіча Сяргея Мiкалаевiча
Луцюка Алега Пятровiча
Лявiцкую Наталлю Iльiнiчну
Лягошына Аляксандра Юр’евiча
Ляхоўскага Уладзiмiра Васiльевiча
Маёрава Сяргея Уладзiмiравiча
Максімука Уладзiмiра Усеваладавiча
Малаховіча Аляксандра Мiхайлавiча
Малікава Васiлiя Iванавiча
Марозава Андрэя Мiкалаевiча
Мельніка Дзмiтрыя Мiкалаевiча
Мількоту Кірыла Мiхайлавiча
Мiрановiча Уладзіміра Мікалаевіча
Місілюка Аляксандра Мiкалаевiча
Місурагіна Вiталiя Анатольевiча
Міхайлава Мiхаiла Мiхайловiча
Міхайлава Уладзiмiра Аляксеевiча
Невяроўскага Дзмiтрыя Iванавiча
Нікалаева Яраслава Яўгеньевiча
Новіка Аляксандра Вiктаравiча
Новіка Мiкалая Пятровiча
Паркевіча Уладзiмiра Уладзiмiравiча
Петручэню Андрэя Мiкалаевiча
Постраша Дзмiтрыя Аляксандравiча
Прасмыцкага Вiталiя Валянцiнавiча
Пырха Дзмiтрыя Вiктаравiча
Пяткевіча Руслана Вячаслававiча
Пятрушкіна Уладзiмiра Аляксандравiча
Радзькова Вiктара Вiктаравiча
Рэйду Аляксандра Фёдаравiча
