Лiневiча Яраслава Львовiча
Афоніна Аляксандра Леанiдавiча
Ахраменку Аляксея Аляксеевiча
Байко Юрыя Іванавiча
Бандзюкова Івана Мiхайлавiча
Банькоўскага Сяргея Георгiевiча
Баранава Аляксея Аляксандравiча
Баркоўскага Вiктара Валер’евiча
Бародзіча Дзмiтрыя Аляксандравiча
Бародзіча Дзмiтрыя Мікалаевіча
Баршчэўскага Аляксандра Яўгеньевiча
Барэля Аляксандра Аляксандравiча
Батуру Уладзiмiра Аляксандравiча
Баянкова Сяргея Анатольевiча
Белазёрава Сяргея Анатольевiча
Белаша Юрыя Часлававiча
Буракову Ірыну Мiкалаеўну
Бусловіча Аляксандра Часлававiча
Бутурлю Вiктара Іосiфавiча
Бялькевіча Сяргея Мiхайлавiча
Бярэшчанку Сяргея Мiхайлавiча
Варахобку Дзмiтрыя Валер’евiча
Васілеўскага Андрэя Іванавiча
Віткоўскага Уладзiмiра Ільiча
Власевіча Сяргея Яўгеньевiча
Войтава Ігара Іванавiча
Волкава Уладзiмiра Анатольевiча
Галякевіча Мiкалая Васiльевiча
Гапанюка Уладзiмiра Уладзiмiравiча
Гарабца Дзмiтрыя Анатольевiча
Гвоздзева Дзмiтрыя Уладзiмiравiча
Гецмана Максіма Георгiевiча
Горбача Ігара Уладзiмiравiча
Грыцкова Мiхаiла Мiхайлавiча
Гуркова Дзмiтрыя Вiктаравiча
Гушчына Віталя Вiктаравiча
Дабравольскага Віталя Аляксандравiча
Дворнік Алену Вiктараўну
Дзямкоўскага Сяргея Мацвеевiча
Дуброўніка Андрэя Станiслававiча
Дунца Аляксандра Фёдаравiча
Дыдышку Юрыя Уладзiмiравiча
Дырула Сяргея Ільiча
Ермакова Аляксандра Уладзiмiравiча
Еўтушэнку Ігара Мiкалаевiча
Жолудзева Аляксандра Мiкалаевiча
Жука Юрыя Цiханавiча
Жураўлёва Андрэя Леанiдавiча
Жывіцу Аляксея Вячаслававiча
Жыхара Алега Яўгеньевiча
Жыхарава Андрэя Рыгоравiча
Забелава Паўла Сяргеевiча
Зайцава Ігара Пятровiча
Залескага Станiслава Юзафавiча
Зарубу Аляксандра Францавiча
Засімука Васiлiя Анатольевiча
Зізюка Паўла Мiхайлавiча
Зюзенка Яўгенiя Аляксеевiча
Зюзько Андрэя Мiкалаевiча
Зябкіна Андрэя Канстанцiнавiча
Зялёнку Дзмiтрыя Канстанцiнавiча
Іванова Валерыя Васiльевiча
Кабельчука Сяргея Мiкалаевiча
Каваленку Дзмiтрыя Леанiдавiча
Капілевіча Вiталiя Вiтальевiча
Карабейку Сяргея Сяргеевiча
Карабейніка Мiхаiла Іванавiча
Караля Аляксандра Пятровiча
Карлоўскага Валерыя Анатольевiча
Касперовіча Алега Уладзiмiравiча
Ката Мiкалая Мiкалаевiча
Каценка Алену Вiктараўну
Кашчава Вiктара Мiхайлавiча
Квяткоўскую Анжэлу Вiктараўну
Кендыша Аляксандра Пятровiча
Кірыленку Юрыя Генадзьевiча
Кірэева Юрыя Аляксандравiча
Кісяля Аляксандра Васiльевiча
Клімовіча Дзмiтрыя Георгiевiча
Клімовіча Юрыя Сяргеевiча
Козіка Сяргея Мiкалаевiча
Кошкур Наталлю Васiльеўну
Крайнікава Юрыя Валер’евiча
Краўцова Станiслава Аляксандравiча
Кругаля Андрэя Ігаравiча
Круцікаву Людмiлу Анатольеўну
Крыварота Мiкалая Мiкалаевiча
Ксензова Мiхаiла Мiхайлавiча
Кудраўца Паўла Леанiдавiча
Кузуру Уладзiмiра Вiктаравiча
Кузьмянкова Андрэя Леанiдавiча
Лабаева Сяргея Уладзiмiравiча
Лабацкага Сяргея Мiкалаевiча
Ладзіка Сяргея Аляксандравiча
Ламаку Паўла Чэслававiча
Лапо Мiкалая Аляксеявiча
Ласага Мiхаiла Мiхайлавiча
Латковіча Дзмiтрыя Уладзiмiравiча
Лату Аляксандра Генадзьевiча
Лелеша Ігара Мiкалаевiча
Ленца Пятра Уладзiмiравiча
Леўчанку Дзмiтрыя Сяргеевiча
Лобана Дзмiтрыя Федаравiча
Ломаця Аляксандра Мiхайлавiча
Лук’янава Уладзiмiра Мiкалаевiча
Луня Андрэя Уладзiмiравiча
Ляпёхіна Андрэя Сяргеевiча
Мажароўскага Андрэя Аляксандравiча
Мазалеўскага Вiталiя Леанiдавiча
Макрыцкага Вiталiя Мiхайлавiча
Максімовіча Аляксандра Вiктаравiча
Маркевіча Андрэя Мiкалаевiча
Мароза Дзмiтрыя Мiкалаевiча
Марозава Васiлiя Лявонавіча
Марцынкевіча Сяргея Уладзiмiравiча
Марчука Вячаслава Леанiдавiча
Матвеенку Мiкалая Васiльевiча
Мігуру Мiхаiла Ізыдоравіча
Мілевіча Андрэя Уладзiмiравiча
Мысліўца Руслана Леанiдавiча
Мядзведзева Мiхаiла Леанiдавiча
Мяцеліцу Алену Уладзiмiраўну
Наважылава Уладзiслава Адольфавiча
Навуменку Уладзiслава Пятровiча
Нагайцава Алега Сяргеевiча
Наумаўца Сяргея Іванавiча
Наумчыка Вiталiя Мiкалаевiча
Нікалаенку Уладзiмiра Анатольевiча
Новікава Дзмiтрыя Генадзьевiча
Падліпскага Андрэя Антонавiча
Палтаўцава Аляксея Канстанцiнавiча
Панасевіча Алега Фелiксавiча
Патапчыка Вiталiя Васiльевiча
Пашалюка Вiктара Паўлавіча
Пашко Сяргея Пятровiча
Пераходзьку Вiктара Аляксандравiча
Піляка Вiктара Мiкалаевiча
Піцко Васiлiя Пятровiча
Прановіча Мiкалая Уладзiмiравiча
Протаса Андрэя Мiхайлавiча
Пузырова Дзмiтрыя Аляксандравiча
Рудзеню Мiкалая Мiкалаевiча
Рудзінскага Рамана Канстанцiнавiча
Рыжанкова Андрэя Леанiдавiча
Савішчава Андрэя Барысавiча
Сакалова Вiктара Уладзiмiравiча
Саковіча Андрэя Вiктаравiча
Самстыку Аляксандра Мiкалаевiча
Святошчыка Сяргея Уладзiмiравiча
Семяніхіна Андрэя Іванавiча
Сеніна Сяргея Пятровiча
Серафімава Васiлiя Уладзiмiравiча
Сёміна Андрэя Леанiдавiча
Сідарава Мiкалая Уладзiмiравiча
Сінельнікава Мiхаiла Мiкалаевiча
Сіняўскага Вiталiя Леанiдавiча
Скрабло Ігара Уладзiмiравiча
Сліжа Юрыя Іванавiча
Стасяловіча Анатолiя Ігнацьевiча
Статкевіча Валерыя Балеслававiча
Студзянічніка Андрэя Леанiдавiча
Сярэдзіча Ігара Іванавiча
Тадоранку Сяргея Васiльевiча
Талайку Аляксея Пятровiча
Тарасёнка Аляксандра Мiкалаевiча
Тарчылу Уладзiмiра Іосiфавiча
Ткачова Дзмiтрыя Мiхайлавiча
Толкача Юрыя Васiльевiча
Трошка Наталлю Васiльеўну
Угляніцу Уладзiмiра Уладзiмiравiча
Удовіна Антона Анатольевiча
Фаенкова Юрыя Васiльевiча
Фамінова Дзмiтрыя Аляксандравiча
Філея Ягора Мiкалаевiча
Фралова Валерыя Вiктаравiча
Хадаркевіча Сяргея Васiльевiча
Хаўратовіча Мiхаiла Станiслававiча
Хацко Юрыя Валянцiнавiча
Хоміча Юрыя Аляксандравiча
Худанава Аляксандра Валер’евiча
Цвіка Аляксандра Аляксандравiча
Цяцеру Уладзiмiра Георгiевiча
Чарвінскую Галiну Вiктараўну
Чудзяленка Наталлю Уладзiмiраўну
Шамко Вiталiя Яўгеньевiча
Шарубу Уладзiмiра Аляксандравiча
Шафаловіча Леанiда Пятровiча
Швеца Аляксандра Мiкалаевiча
Шкароўскую Іну Уладзiмiраўну
Шкута Вячаслава Мiхайлавiча
Шукана Сяргея Вiктаравiча
Шукевіча Уладзiмiра Баляслававiча
Шульжэнку Аляксея Мiкалаевiча
Шчадракова Дзмiтрыя Вiктаравiча
Шынгеля Вiталiя Вiтальевiча
Шынкевіча Аляксандра Мiкалаевiча
Шырокага Івана Уладзiмiравiча
Шэлехава Рыгора Аляксандравiча
Шэўчыка Сяргея Іванавiча
Юршу Аляксандра Леанiдавiча
Дзеркача Алега Уладзiмiравiча
Мышкаўца Сяргея Іванавiча
Лазоўскага Анатолiя Балеслававiча
Саўчука Вiктара Леанiдавiча
Тарасевiча Васiлiя Цiмафеевiча
Агафонава Дзмiтрыя Аляксандравіча
Ацясава Аляксандра Ягоравiча
Вялiчко Уладзiмiра Пятровiча
Гiгевiча Ігара Васiльевiча
Жыльчыка Яўгенiя Валянцiнавiча
Канаплянiка Аляксандра Іванавіча
Клiшэвiча Мiкалая Вiкенцьевiча
Лазара Леанiда Мiкалаевiча
Семяновiча Ігара Мiкалаевiча
Тарбецкага Генадзія Іванавiча
Храменкова Аляксея Іванавiча
Ярашынскага Казiмiра Леанiдавiча
Дудараву Марыну Вiктараўну
Кумiшчу Віктара Станіслававiча
Целешава Мікалая Раманавiча
Зотаву Валянцiну Аляксандраўну
Пялевiну Зiнаiду Мiкалаеўну
Скiпар Таццяну Аркадзьеўну
Лук’янчука Васiлiя Сцяпанавiча
Дарошку Сяргея Іванавiча
Дубаўца Вiктара Анатольевiча
Захарчука Уладзiмiра Андрэевiча
Зенчыка Сяргея Іванавiча
Кашталанава Аляксандра Іванавiча
Ляонава Валерыя Пятровiча
Максімука Вячаслава Васiльевiча
Мельніка Рамана Іванавiча
Палякова Сяргея Мiкалаевiча
Старыкевіча Сяргея Сцяпанавiча
Шакаля Васiлiя Іванавiча
Атрашэнку Валерыя Мiкалаевiча
Бручыкава Аляксандра Мiхайлавiча
Буйнова Мiкалая Анатольевiча
Бялекалу Аляксандра Яўгеньевiча
Варону Мiкалая Мiкалаевiча
Герасімовіча Вячаслава Уладзiмiравiча
Дайлідава Сяргея Анатольевiча
Дземідовіча Уладзiмiра Сяргеевiча
Драмача Уладзiмiра Яўгеньевiча
Дуванава Алега Уладзiмiравiча
Жыбуртовіча Вiктара Валянцiнавiча
Жыгалава Ігара Валер’евiча
Іоскіна Аляксандра Леанiдавiча
Каліноўскага Аляксандра Аляксеевiча
Калядзіча Андрэя Іванавiча
Краўцэвіча Мiкалая Сцяпанавiча
Ліса Дзмiтрыя Антонавiча
Мазалеўскага Андрэя Барысавiча
Мазаніка Дзмiтрыя Валер’евiча
Марковіча Сяргея Аляксандравiча
Рамашову Таццяну Веніямiнаўну
Рыхліцкага Рыгора Рыгоравiча
Саевіча Сяргея Пятровiча
Свейко Андрэя Аляксандравiча
Семенюка Івана Васiльевiча
Трыфанава Аляксандра Валер’евiча
Тужыкава Вiталiя Аляксандравiча
Угляніцу Валерыя Пятровiча
Чучвала Андрэя Мiкалаевiча
Чучкова Станiслава Грыгор’евiча
Аксенюка Сяргея Мiкалаевiча
Александровіча Мiкалая Іванавiча
Андрэева Аляксея Георгiевiча
Арцёменку Сяргея Пятровiча
Афіцэрава Мiкалая Пятровiча
Бакана Ігара Дзмiтрыевiча
Барадзейку Вiталiя Уладзiмiравiча
Бачылу Юрыя Мiхайлавiча
Белавусава Канстанцiна Канстанцiнавiча
Бразгунова Аляксандра Уладзiмiравiча
Бубнова Андрэя Мiхайлавiча
Бульскага Андрэя Вiктаравiча
Бурлакова Вiктара Мiкалаевiча
Былінскага Сяргея Уладзiмiравiча
Бялова Вячаслава Бранiслававiча
Валадашчыка Аляксандра Мiкалаевiча
Валуя Генадзiя Генадзьевiча
Васільева Юрыя Мiхайлавiча
Ваўчкова Мiкалая Мiхайлавiча
Веразубаву Антанiну Паўлаўну
Гайдаша Вiктара Вiктаравiча
Галезнік Марыну Уладзiмiраўну
Ганцавіча Ігара Яўгеньевiча
Ганчарыка Уладзiмiра Эдвардавіча
Ганчука Андрэя Аляксандравiча
Герасімчука Аляксандра Яўгеньевiча
Германава Аляксандра Мiкалаевiча
Герта Леанiда Аляксандравiча
Грыба Андрэя Анатольевiча
Грыгаровіча Васiлiя Леанiдавiча
Гука Аляксандра Васiльевiча
Гуляку Юрыя Леанiдавiча
Дабраловіча Сяргея Рамуальдавiча
Давідовіча Ігара Пятровiча
Дзешковіча Мiкалая Канстанцiнавiча
Дзікага Алега Іванавiча
Добка Людмiлу Уладзiмiраўну
Домніча Паўла Іосiфавiча
Емільяновіча Вiталiя Мар’янавiча
Ермакова Уладзiмiра Васiльевiча
Ермаковіча Канстанцiна Барысавiча
Еўдакімава Алега Аляксандравiча
Жаркова Генадзiя Валянцiнавiча
Заец Людмiлу Васiльеўну
Засінца Анатоля Пятровiча
Зорына Юрыя Сяргеевiча
Іванчыкава Дзянiса Яўгеньевiча
Ігнацьева Сяргея Пятровiча
Кавалёва Вiктара Мiхайлавiча
Кавальчука Вiктара Вiктаравiча
Казакова Паўла Іванавiча
Казакова Сяргея Іванавiча
Калацэя Мiхаiла Сяргеевiча
Калтачэнку Вячаслава Мiкалаевiча
Камарова Андрэя Пятровiча
Камінскага Аляксандра Васiльевiча
Канаплева Андрэя Уладзiмiравiча
Кандрацьеву Таццяну Васiльеўну
Карніенку Аляксандра Аляксандравiча
Карчэўскага Аляксандра Мiхайлавiча
Катовіча Алега Генадзьевiча
Качалава Ігара Мiхайлавiча
Кашталянчыка Ігара Генадзьевiча
Квача Уладзiмiра Іванавiча
Кікуна Аляксандра Мiкалаевiча
Кісляка Уладзiмiра Ільiча
Кісяля Сяргея Мiхайлавiча
Клаўшуна Юрыя Вячаслававiча
Клімюка Андрэя Васiльевiча
Кляпца Вадзiма Іванавiча
Крупеньку Ігара Уладзiмiравiча
Крывуліна Аляксандра Яўгенавiча
Кузьміна Аляксандра Сяргеевiча
Кузьміна Паўла Валер’евiча
Кулая Вiктара Мiкалаевiча
Кухту Сяргея Васiльевiча
Куцкевіча Васiля Тадэвушавiча
Кучараева Аляксандра Мiкалаевiча 
Лапаухава Дзмiтрыя Аляксандравiча
Лапіцкага Аляксандра Уладзiмiравiча
Латышава Мiкалая Вiктаравiча
Лаўрова Юрыя Леанiдавiча
Ліпніцкага Вячаслава Часлававiча
Літвінава Алега Мiхайлавiча
Літвіненку Вiталiя Святаслававіча
Лысака Канстанцiна Канстанцiнавiча
Ляміна Руслана Яўгенавiча
Маісеенку Алега Іванавiча
Макушэнку Ігара Аляксандравiча
Мальчэўскага Вячаслава Аляксандравiча
Манаева Сяргея Уладзiмiравiча
Мардухая Георгiя Канстанцiнавiча
Маркава Сяргея Аляксандравiча
Маркаву Аксану Валянцiнаўну
Марозава Уладзiмiра Іванавiча
Марчука Андрэя Федаравiча
Маслюкова Дзмiтрыя Анатольевiча
Маслянкова Вiктара Мiхайлавiча
Мацейку Валерыя Іосiфавiча
Машэду Мiхаiла Аркадзьевіча
Мезінцава Сяргея Уладзiмiравiча
Мезянкова Аляксандра Уладзiмiравiча
Міхневіча Сяргея Вiктаравiча
Моката Аляксандра Аляксандравiча
Мышкоўскага Сяргея Васiльевiча
Мялешку Сяргея Мiхайлавiча
Мяшкеля Анатолiя Антонавiча
Навакоўскага Анатоля Анатольевiча
Назарку Уладзiмiра Мiкалаевiча
Нехвядовіча Андрэя Іосiфавiча
Новіка Андрэя Валер’евiча
Пануждаева Дзмiтрыя Мiкалаевiча
Папялёнка Аляксандра Уладзiмiравiча
Патарэнку Аляксандра Уладзiмiравiча
Петручэню Анатолiя Мiхайлавiча
Петрушкевіча Андрэя Генадзьевiча
Піскунова Аляксандра Васiльевiча
Пішчанку Мiхаiла Мiкалаевiча
Прапаршчыка Андрэя Мiхайлавiча
Пратасевіча Андрэя Валер’евiча
Прыходзьку Леанiда Іванавiча
Пунтуса Марата Уладзiмiравiча
Пытлякова Уладзiмiра Аляксандравiча
Пятрова Івана Канстанцiнавiча
Раманава Юрыя Генадзьевiча
Раманоўскага Ігара Францавiча
Рахваліка Аляксандра Мацвеевiча
Рубана Юрыя Аляксандравiча
Рыпінскага Ігара Васiльевiча
Рэута Святаслава Іванавiча
Серабракова Дзмiтрыя Вячаслававiча
Сівакова Дзмiтрыя Вiктаравiча
Сільчанку Уладзiмiра Пятровiча
Сіманава Юрыя Пятровiча
Сінігаеву Жанну Вiктараўну
Сіняка Уладзiмiра Аляксеевiча
Сіротку Дзмiтрыя Іванавiча
Слуцкага Мiкалая Лявонцьевіча
Смірнова Мiкалая Сяргеевiча
Спірына Уладзiслава Валер’евiча
Сталбунова Сяргея Мiкалаевiча
Суціна Аляксея Мiхайлавiча
Сцепанцова Юрыя Валер’евiча
Сцяпаненку Уладзiмiра Іванавiча
Талкачова Андрэя Ігаравiча
Таляронка Андрэя Дзмiтрыевiча
Ткача Аляксея Дзмiтрыевiча
Труса Андрэя Генадзьевiча
Уласовіча Сяргея Мiкалаевiча
Ушакова Сяргея Уладзiмiравiча
Фралова Арцёма Сяргеевiча
Хамутова Яўгенiя Яўгеньевiча
Хамутоўскага Валерыя Пятровiча
Хамутоўскага Мiкалая Мiкалаевiча
Хоміча Дзмiтрыя Паўлавіча
Цалку Дзмiтрыя Іванавiча
Цілікіна Аляксандра Юр’евiча
Цімашэнку Ігара Мiкалаевiча
Цызу Валянцiна Мiкалаевiча
Цясёлкіна Алега Канстанцiнавiча
Чачкова Сяргея Станiслававiча
Чванкіна Вадзiма Аркадзьевіча
Чурынца Валерыя Аляксеевiча
Шалкоўскага Уладзiмiра Мiхайлавiча
Шалоньку Андрэя Вiктаравiча
Шамбельскага Юрыя Дзмiтрыевiча
Шаравара Аляксандра Аляксандравiча
Швяцова Яўгенiя Іванавiча
Шмаянкова Леанiда Мiхайлавiча
Шульдова Барыса Пятровiча
Шундрыка Андрэя Іванавiча
Шчаснага Вiктара Пятровiча
Шыбалку Мiкалая Аляксандравiча
Шырына Ігара Аляксеевiча
Шышкова Дзмiтрыя Уладзiмiравiча
Шэршаня Андрэя Георгiевiча
Язерскага Яўгенiя Леанiдавiча
Якавіцкага Алега Часлававiча
Якімовіча Аляксея Мiкалаевiча
Якубовіча Сяргея Васiльевiча
Янкевіча Івана Іванавiча
Яновіча Мiкалая Мiкалаевiча
Януша Вiталiя Мiкалаевiча
Яфімчыка Сяргея Іванавiча
Алексеюка Генадзія Аляксандравiча
Гарбачыка Сяргея Аляксандравiча
Скарыну Уладзіміра Аляксандравiча
Кукраша Ігната Аляксандравiча
Раманюка Віталія Аляксандравiча
Грамовiча Аляксандра Васільевіча
Пруднiкава Ігара Вітальевіча
Аднаколава Вячаслава Валер’евiча
Баразiнца Уладзiмiра Мiкалаевiча
Барташэвiч Людмілу Антонаўну
Басяцкага Сяргея Генрыхавiча
Вайду Валерыя Феафанавiча
Галiеўскага Максiма Аляксандравiча
Гаўрылава Антона Вiктаравiча
Ельнiцкага Валерыя Аляксандравiча
Кандрацьева Дзянiса Вячаслававiча
Карабельнiкава Сяргея Акiмавiча
Коласа Алега Мiкалаевiча
Крывога Вiталiя Аляксандравiча
Лебедзева Яўгенiя Генадзьевiча
Лiтвiнскага Максiма Вiктаравiча
Мiхальчука Аляксандра Мікалаевіча
Ражнова Эдуарда Мiхайлавiча
Хахлова Аляксея Валер’евiча
Цiпуха Уладзіміра Якаўлевіча
Сiняка Андрэя Паўлавiча
Шастакова Мiхаiла Мiхайлавiча
Вучэбна-вытворчае прыватнае ўнітарнае прадпрыемства «Пінская аўтамабільная школа» рэспубліканскага дзяржаўна-грамадскага аб’яднання «Добраахвотнае таварыства садзейнічання арміі, авіяцыі i флоту Рэспублікі Беларусь»
Адкрытае акцыянернае таварыства «Хімчыстка i мыццё бялізны», г. Магілёў
Гнiцiя Вячаслава Анатольевiча
Установу адукацыi «Гродзенскi дзяржаўны медыцынскi ўнiверсiтэт»
Куркiна Васiлiя Мiхайлавiча
Бабiча Рыгора Мiкалаевiча
Блiзнюка Аляксандра Сяргеевіча
Гомана Івана Іосiфавiча
Жураўскага Мiкалая Юльянавiча
Шыбеку Mixaіла Васільевіча
Ільюшчанку Аляксандру Федаравiчу
Барадаўку Уладзiмiру Іванавiчу
Андрыянава Паўла Аляксандравiча
Апякiна Аляксея Уладзiмiравiча
Архiпенку Віталія Віктаравіча
Бiркоўскага Сяргея Мiкалаевiча
Казака Вiталiя Аляксандравiча
Караленка Наталлю Мiкалаеўну
Касцянога Сяргея Валер’евiча
Кулiкоўскага Дзмітрыя Міхайлавіча
Лагiмахаву Таццяну Мікалаеўну
Лiтвiнчук Алену Сяргееўну
Папсуя Уладзiмiра Паўлавiча
Рабава Уладзiмiра Вiктаравiча
Сечку Вiталiя Аляксандравiча
Тарасенку Ігара Пятровiча
Цiтова Вадзiма Аркадзьевiча
Цiшчанку Вiктара Аляксандравiча
Чэпiка Вадзiма Іванавiча
Качаткова Яўгенiя Валянцiнавiча 
Ляха Уладзiмiра Фелiксавiча 
Шабалiна Анатоля Андрэевiча
Водчыцу Мiхаiлу Васiльевiчу
Гурскую Наталiю Уладзіміраўну
Амельянчыка Мечыслава Мечыслававiча 
Сямашку Генадзiя Іванавiча
Тураўца Васiлiя Мiкалаевiча
Шалеснага Мiкалая Уладзiмiравiча
Ядзевiча Франца Іванавiча
Бiрана Барыса Навумавiча
Дудзiнскую Алену Іванаўну
Івулёва Вiктара Мiхайлавіча
Бялецкага Вiктара Міхайлавiча
Вакулiча Фёдара Фёдаравіча
Гаева Аляксандра Кiрылавiча
Крэмянецкага Яўгенiя Усеваладавіча
Лiтвiна Анатолiя Анатольевіча
Цiтаўца Уладзiмiра Рыгоравiча
Яўсей Ірыну Васiльеўну
Усцiнскага Васілія Міхайлавіча
Ермаковiч Святлану Яўгеньеўну
Мароза Аляксандра Васiльевiча
Сінкаўца Паўла Мiкалаевiча
Смоліна Уладзiмiра Клімавіча
Ляшэвiча Дзмітрыя Станіслававіча
Мухiна Ігара Мiхайлавiча
Бразоўскага Сяргея Васiльевiча
Бялько Аляксандра Васiльевiча
Грушу Івана Мiкалаевiча
Зiнавенку Андрэя Алегавiча
Канюшэнку Дзмiтрыя Анатольевiча
Качуру Андрэя Васiльевiча
Курзова Вячаслава Мiхайлавiча
Кучарука Мiкалая Васiльевiча
Лакцевiча Алега Мікалаевіча
Махляра Дзмiтрыя Аляксандравiча
Палюховiча Вячаслава Аляксандравіча
Петрыкевіча Мiкалая Бярнардавіча
Сысоева Дзянiса Валер’евiча
Украiнскага Арцёма Аляксандравіча
Фурса Валерыя Уладзiмiравiча
Шалаеву Ірыну Уладзiмiраўну
Шамелу Вiктара Вiктаравiча
Шведа Андрэя Іванавiча
Ганчарэнку Аляксандра Яўгеньевiча
Мiрчуку Анатолiю Васiльевiчу
Дайновiча Івана Іосiфавiча
Каральчука Уладзiмiра Аляксандравiча
Кулiкову Ірыну Максiмаўну
Мiронава Сяргея Мiкалаевiча
Сароку Мiкалая Пятровiча
Чарвонiка Валерыя Аляксандравiча
Чарвонiка Вiктара Уладзiмiравiча
Чарэпко Сяргея Іванавiча
Якубовiча Аляксандра Сцяпанавiча
Дзедука Валерыя Ιванавіча
Гергеса Алега Мiхайлавiча
Арцем’ева Аляксандра Сяргеевiча
Багінскага Івана Эдуардавiча
Барушку Генадзя Васiльевiча
Бескаравайнага Дзмiтрыя Алегавiча
Бізюка Аляксандра Генадзьевiча
Бондарава Андрэя Васiльевiча
Броўку Дзмiтрыя Іванавiча
Віткоўскага Ігара Вацлававiча
Ганчарэвіча Дзмiтрыя Георгiевiча
Гарасцюка Аляксандра Георгiявiча
Гутнікава Аляксандра Іванавiча
Дзятчыка Уладзiмiра Уладзiмiравiча
Жолудзева Андрэя Фёдаравiча
Жыгара Уладзiмiра Сяргеевiча
Каразея Алега Георгiевiча
Карпінскага Вiталiя Валер’евiча
Клімчанку Ігара Анатольевiча
Максімава Алега Уладзiмiравiча
Радзюка Аляксандра Іванавiча
Румянцава Аляксандра Аляксандравiча
Сяліцкага Сяргея Мечыслававiча
Цэгалку Мiкалая Пятровiча
Шчаснага Ігара Мiкалаевiча
Шчурэвіча Аляксандра Мiхайлавiча
Шэстапалава Руслана Уладзiмiравiча
Абакановіча Аляксандра Мiхайлавiча
Алешку Фёдара Аляксандравiча
Амосава Аляксея Леанiдавiча
Андруковіча Леанiда Станiслававiча
Аненкава Вячаслава Вячаслававiча
Анішчука Васiлiя Мiхайлавiча
Анціпенку Вiктара Мiкалаевiча
Арлова Вiктара Валер’евiча
Асадчага Сяргея Анатольевiча
Асяпкова Дзмiтрыя Уладзiмiравiча
Аўсяніка Сяргея Мiкалаевiча
Багдановіча Леанiда Францавiча
Бакуна Алега Валер’евiча
Баложку Аляксея Анатольевiча
Балука Яўгенiя Паўлавіча
Бандыку Вiктара Рыгоравiча
Барадзіна Паўла Сяргеевiча
Барсукова Уладзiмiра Мiхайлавiча
Бахура Алега Іванавiча
Бацэвіча Сяргея Эдуардавiча
Беладзеда Мiкалая Васiльевiча
Белашыцкага Паўла Вiктаравiча
Белянкову Наталлю Мiхайлаўну
Бенько Дзмiтрыя Мiхайлавiча
Бондара Алега Аляксандравiча
Бохана Сяргея Аляксандравiча
Брагунца Уладзiмiра Леанідавіча
Брылевіча Уладзiмiра Сцяпанавiча
Брыля Дзмiтрыя Мiхайлавiча
Бубнова Вiталiя Мiхайлавiча
Вакульчыка Сяргея Васiльевiча
Варэнікава Валянцiна Іванавiча
Васілевіча Аляксандра Леанiдавiча
Вечара Сяргея Іванавiча
Волкава Аляксандра Вiктаравiча
Волкава Уладзiмiра Рыгоравiча
Выбяранца Андрэя Іванавiча
Вялічку Віталя Вiкенцьевiча
Вятчынкіну Таццяну Леанiдаўну
Гаева Анатолiя Анатольевiча
Галавача Андрэя Васiльевiча
Галыню Аляксея Мiхайлавiча
Гамолу Максіма Аляксандравiча
Ганчарова Сяргея Якаўлевiча
Ганчарука Сяргея Вiтальевiча
Гапеева Вiталiя Іванавiча
Гардзіёнка Сяргея Леанiдавiча
Гармашука Вiталя Уладзіміравіча
Гаўроша Аляксея Іванавiча
Гваздоўскага Уладзiмiра Іванавiча
Гілеўскую Наталлю Мiкалаеўну
Глазко Андрэя Сяргеевiча
Глёкава Вячаслава Мiкалаевiча
Грузда Вiталiя Сяргеевiча
Грушэвіч Аксану Вiктараўну
Грыгор’ева Юрыя Пятровiча
Грыпініча Сяргея Пятровiча
Давыдоўскага Мiхаiла Мiкалаевiча
Даранцова Аляксандра Аляксандравiча
Дарошку Дзмiтрыя Васiльевiча
Дзегцярова Алега Аляксеевiча
Дзмітрукевіча Аляксандра Анатольевiча
Дзямідава Сяргея Генадзьевiча
Дзямко Васiля Васiльевiча
Драбышэўскага Сяргея Мiкалаевiча
Дразда Аляксандра Мiкалаевiча
Дразда Андрэя Мiкалаевiча
Дразда Ігара Мiкалаевiча
Драздова Леанiда Мiхайлавiча
Дубіну Сяргея Мiкалаевiча
Дуброўскага Уладзiмiра Васiльевiча
Дыдо Алену Мiкалаеўну
Ермалінскага Андрэя Эдуардавiча
Ермаловіча Сяргея Васiльевiча
Ермачонка Аляксандра Іванавiча
Жалудку Леанiда Іванавiча
Жаўрыда Сяргея Уладзiмiравiча
Жука Вячаслава Васiльевiча
Жыгалу Вiталiя Іосiфавiча
Зінчанку Максіма Леанiдавiча
Зорку Аляксея Уладзiмiравiча
Зыкава Аляксея Мiхайлавiча
Іванова Аляксандра Мiкалаевiча
Іванова Андрэя Аляксандравiча
Іванова Дзмiтрыя Анатольевiча
Іванова Дзмiтрыя Анатольевiча
Іванова Сяргея Сяргеевiча
Ільючыка Анатолiя Аляксеевiча
Кабачэўскага Мiкалая Мiкалаевiча
Кавалева Аляксандра Уладзiмiравiча
Кавалевіча Васiлiя Васiльевiча
Каваленку Алега Уладзiмiравiча
Казакова Вячаслава Уладзiмiравiча
Казарына Алега Яўгеньевiча
Казлова Валерыя Васiльевiча
Казлоўскага Аляксандра Станiслававiча
Калакустава Уладзiмiра Уладзiмiравiча
Каленчыца Андрэя Аляксандравiча
Кандраценку Валерыя Аляксандравiча
Кандрацьева Дзмiтрыя Аляксандравiча
Кандруцкага Паўла Аляксандравiча
