fіo,dolzhnost,,,,,,,,,,,regіon
Бойку Сяргея Віктаравіча,"камандзіра аддзялення пажарнай аварыйна-выратавальнай часці № 10 Гомельскага гарадскога аддзела па надзвычайных сітуацыях установы ""Гомельскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Бондарава Віталія Аляксеевіча,"галоўнага інспектара аддзела рэжымна-сакрэтнай дзейнасці і справаводства ўпраўлення Следчага камітэта па Гомельскай вобласці, маёра юстыцыі",,,,,,,,,,,
Бракарэнку Сяргея Аляксандравіча,"начальніка службы паветрана-дэсантнай тэхнікі 5-й асобнай брыгады спецыяльнага прызначэння Узброеных Сіл, падпалкоўніка",,,,,,,,,,,
Братчэню Сяргея Рыгоравіча,"следчага па асабліва важных справах 1-га следчага аддзялення Светлагорскага раённага аддзела Следчага камітэта, падпалкоўніка юстыцыі",,,,,,,,,,,
Брытвіча Дзмітрыя Уладзіміравіча,"начальніка пажарна-выратавальнай службы дзяржаўнай пажарнай аварыйна-выратавальнай установы ""Рэспубліканскі атрад спецыяльнага прызначэння"" Міністэрства па надзвычайных сітуацыях, маёра ўнутранай службы",,,,,,,,,,,
Брэля Аляксандра Фёдаравіча,"старшага інспектара аддзялення мабільнай пагранічнай заставы 19-й пагранічнай групы пагранічнай службы, старшага прапаршчыка",,,,,,,,,,,
Брэскага Дзмітрыя Валянцінавіча,"намесніка начальніка 2-га следчага аддзялення Брэсцкага міжраённага аддзела Следчага камітэта, падпалкоўніка юстыцыі",,,,,,,,,,,
Бубна Ігара Віктаравіча,старшага інспектара аддзела мытнага афармлення і кантролю № 11 Маладзечанскага мытнага паста Мінскай рэгіянальнай мытні,,,,,,,,,,,
Бубнова Андрэя Генадзьевіча,"старшага інспектара штаба батальёна дарожна-патрульнай службы дзяржаўнай аўтамабільнай інспекцыі ўпраўлення ўнутраных спраў Гродзенскага аблвыканкама, маёра міліцыі",,,,,,,,,,,
Буднік Людмілу Віктараўну,"начальніка аддзялення часці 31-га навігацыйна-тапаграфічнага цэнтра Узброеных Сіл, маёра",,,,,,,,,,,
Будрэвіча Аляксандра Віктаравіча,"намесніка начальніка аддзялення аховы правапарадку і прафілактыкі міліцыі грамадскай бяспекі ўпраўлення ўнутраных спраў па ахове Мінскага метрапалітэна, маёра міліцыі",,,,,,,,,,,
Булахава Валерыя Фёдаравіча,"міліцыянера-вадзіцеля групы затрымання роты міліцыі Кастрычніцкага (г. Магілёва) аддзела Дэпартамента аховы Міністэрства ўнутраных спраў, прапаршчыка міліцыі",,,,,,,,,,,
Булву Аляксандра Дзмітрыевіча,"старшага выкладчыка дзяржаўнай установы адукацыі ""Камандна-інжынерны інстытут"" Міністэрства па надзвычайных сітуацыях, маёра ўнутранай службы",,,,,,,,,,,
Бурдзюка Дзмітрыя Яўгеньевіча,"начальніка аддзела крымінальнага вышуку крымінальнай міліцыі ўпраўлення ўнутраных спраў адміністрацыі Партызанскага раёна г. Мінска, маёра міліцыі",,,,,,,,,,,
Бурнаса Юрыя Віктаравіча,"старшага штурмана аддзела кіраўніцтва палётамі дзяржаўнай авіяцыйнай аварыйна-выратавальнай установы ""АВІЯЦЫЯ"" Міністэрства па надзвычайных сітуацыях, маёра ўнутранай службы",,,,,,,,,,,
Буткоўскую Марыну Васільеўну,"следчага па асабліва важных справах аддзела крыміналістычнага і метадычнага забеспячэння папярэдняга расследавання ўпраўлення Следчага камітэта па Мінскай вобласці, падпалкоўніка юстыцыі",,,,,,,,,,,
Быка Вячаслава Іванавіча,"старшага тэхніка аддзялення пагранічнага кантролю 20-га пагранічнага атрада пагранічнай службы, старшага прапаршчыка",,,,,,,,,,,
Бычкова Аляксандра Уладзіміравіча,"начальніка аддзела пракуратуры г. Мінска па нагляду за дазнаннем, старшага саветніка юстыцыі",,,,,,,,,,,
Бычкоўскага Юрыя Вайцехавіча,"старшага кантралёра дзяжурнай службы папраўчай установы ""Турма № 1"" упраўлення Дэпартамента выканання пакаранняў Міністэрства ўнутраных спраў па Гродзенскай вобласці, старшага прапаршчыка ўнутранай службы",,,,,,,,,,,
Бялко Аляксандра Пятровіча,"старшага тэхніка аддзялення аддзела аператыўнага ўпраўлення 16-й пагранічнай групы пагранічнай службы, старшага прапаршчыка",,,,,,,,,,,
Вайніловіча Валерыя Іванавіча,"ваеннага камісара Іўеўскага раённага ваеннага камісарыята Гродзенскай вобласці, падпалкоўніка",,,,,,,,,,,
Валасача Мікалая Мікалаевіча,"начальніка службы сувязі аддзялення сувязі і тэхнічнай абароны інфармацыі аддзела сувязі і інфармацыйных тэхналогій упраўлення рэжыму і арганізацыйнага забеспячэння 19-й пагранічнай групы пагранічнай службы, маёра",,,,,,,,,,,
Валентукевіча Віктара Іосіфавіча,"камандзіра аддзялення пажарнай аварыйна-выратавальнай часці № 2 пажарнага аварыйна-выратавальнага атрада № 5 Гродзенскага гарадскога аддзела па надзвычайных сітуацыях установы ""Гродзенскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Валенцюкевіча Паўла Валер’евіча,"старшага оперупаўнаважанага аддзялення крымінальнага вышуку крымінальнай міліцыі аддзела ўнутраных спраў Навагрудскага райвыканкама, маёра міліцыі",,,,,,,,,,,
Валошчыка Міхаіла Васільевіча,"участковага інспектара міліцыі аддзела аховы правапарадку і прафілактыкі міліцыі грамадскай бяспекі аддзела ўнутраных спраў Бярозаўскага райвыканкама, капітана міліцыі",,,,,,,,,,,
Валошыну Алену Уладзіміраўну,"намесніка начальніка штаба па мабілізацыйнай рабоце механізаванага батальёна 6-й асобнай гвардзейскай механізаванай брыгады Заходняга аператыўнага камандавання Узброеных Сіл, старшага лейтэнанта",,,,,,,,,,,
Валуевіча Эдуарда Валянцінавіча,"міліцыянера-вадзіцеля групы затрымання ўзвода міліцыі Ашмянскага аддзела Дэпартамента аховы Міністэрства ўнутраных спраў, прапаршчыка міліцыі",,,,,,,,,,,
Валынца Сяргея Іванавіча,"старшага інспектара дарожна-патрульнай службы ўзвода дарожна-патрульнай службы батальёна дарожна-патрульнай службы дзяржаўнай аўтамабільнай інспекцыі ўпраўлення ўнутраных спраў Брэсцкага аблвыканкама, маёра міліцыі",,,,,,,,,,,
Вараб’ёва Віктара Міхайлавіча,"старшага памочніка начальніка аператыўнага аддзялення штаба 557-й інжынернай брыгады Заходняга аператыўнага камандавання Узброеных Сіл, маёра",,,,,,,,,,,
Вараб’ёва Дзмітрыя Сяргеевіча,"намесніка начальніка цэнтра матэрыяльна-тэхнічнага забеспячэння 15-й пагранічнай групы пагранічнай службы, маёра",,,,,,,,,,,
Варанцова Віталя Уладзіміравіча,"старшага следчага следчага аддзялення Мсціслаўскага раённага аддзела Следчага камітэта, маёра юстыцыі",,,,,,,,,,,
Варанчука Андрэя Віктаравіча,"вадзіцеля пажарнай аварыйна-выратавальнай часці № 1 Жабінкаўскага раённага аддзела па надзвычайных сітуацыях установы ""Брэсцкае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Варушылу Васілія Пятровіча,"старшага оперупаўнаважанага па асабліва важных справах 1-га аддзялення 4-га аддзела 2-га ўпраўлення Дэпартамента забеспячэння аператыўна-вышуковай дзейнасці Міністэрства ўнутраных спраў, падпалкоўніка міліцыі",,,,,,,,,,,
Васілевіча Дзяніса Сяргеевіча,"начальніка штаба – першага намесніка камандзіра інжынерна-тэхнічнага батальёна 7-га інжынернага палка Паўночна-заходняга аператыўнага камандавання Узброеных Сіл, маёра",,,,,,,,,,,
Васіленка Алену Мікалаеўну,"начальніка аддзела мытнай статыстыкі і аналізу ўпраўлення інфармацыйных тэхналогій, мытнай статыстыкі і аналізу Дзяржаўнага мытнага камітэта",,,,,,,,,,,
Васілеўскага Васілія Міхайлавіча,"старшыну Кобрынскага раённага аддзела Следчага камітэта, прапаршчыка юстыцыі",,,,,,,,,,,
Васіна Васілія Віктаравіча,"начальніка пажарнага аварыйна-выратавальнага атрада № 2 на аб’ектах завода ""Палімір"" адкрытага акцыянернага таварыства ""Нафтан"" Наваполацкага гарадскога аддзела па надзвычайных сітуацыях установы ""Віцебскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Васкабоеву Нону Леанідаўну,начальніка аддзела аналізу і прагнозаў статыстыкі знешняга гандлю Мінскай цэнтральнай мытні,,,,,,,,,,,
Васюка Андрэя Мечыслававіча,"вадзіцеля пажарнага аварыйна-выратавальнага паста № 11 Шаркаўшчынскага раённага аддзела па надзвычайных сітуацыях установы ""Віцебскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", старшыну ўнутранай службы",,,,,,,,,,,
Васюкевіча Аляксандра Сяргеевіча,"першага намесніка начальніка ўпраўлення арганізацыйнага забеспячэння дзяржаўнай сістэмы папярэджвання і ліквідацыі надзвычайных сітуацый і грамадзянскай абароны Міністэрства па надзвычайных сітуацыях, маёра ўнутранай службы",,,,,,,,,,,
Ваўчка Віталія Вітальевіча,"міліцыянера групы затрымання батальёна міліцыі Кастрычніцкага (г. Гродна) аддзела Дэпартамента аховы Міністэрства ўнутраных спраў, прапаршчыка міліцыі",,,,,,,,,,,
Вашчанку Аляксандра Міхайлавіча,"міліцыянера-вадзіцеля аператыўна-дзяжурнай службы міліцыі грамадскай бяспекі аддзела ўнутраных спраў Веткаўскага райвыканкама, прапаршчыка міліцыі",,,,,,,,,,,
Вебера Аляксандра Аляксандравіча,"начальніка штаба – першага намесніка начальніка 2060-й базы захоўвання і рамонту Ваенна-паветраных сіл і войскаў супрацьпаветранай абароны Узброеных Сіл, капітана",,,,,,,,,,,
Века Тамару Дзям’янаўну,галоўнага інспектара аператыўна-вышуковага аддзела Мінскай цэнтральнай мытні,,,,,,,,,,,
Венскага Валерыя Міхайлавіча,"намесніка начальніка інфармацыйнага цэнтра ўпраўлення ўнутраных спраў Гродзенскага аблвыканкама – начальніка аддзела дзяржаўнай рэгістрацыі і ўліку правапарушэнняў, падпалкоўніка міліцыі",,,,,,,,,,,
Верамейчыка Аляксандра Леанідавіча,"старшага ўчастковага інспектара міліцыі аддзела аховы правапарадку і прафілактыкі міліцыі грамадскай бяспекі аддзела ўнутраных спраў Вілейскага райвыканкама, маёра міліцыі",,,,,,,,,,,
Верамейчыка Сяргея Валянцінавіча,"старшага афіцэра службы артылерыйскага ўзбраення вайсковай часці 7404 унутраных войскаў Міністэрства ўнутраных спраў, маёра",,,,,,,,,,,
Вечара Уладзіміра Аркадзьевіча,"старшага кантралёра рэжымнага аддзела ўстановы ""Следчы ізалятар № 1"" упраўлення Дэпартамента выканання пакаранняў Міністэрства ўнутраных спраў па г. Мінску і Мінскай вобласці, старшага прапаршчыка ўнутранай службы",,,,,,,,,,,
Вінакурава Андрэя Мікалаевіча,"дзяжурнага дзяжурнай часці – памочніка ваеннага каменданта Віцебскай ваеннай камендатуры Узброеных Сіл, маёра",,,,,,,,,,,
Волкава Міхаіла Міхайлавіча,"следчага па асабліва важных справах аддзела па расследаванню злачынстваў супраць інтарэсаў службы следчага ўпраўлення ўпраўлення Следчага камітэта па Мінскай вобласці, падпалкоўніка юстыцыі",,,,,,,,,,,
Выгляда Алега Дзмітрыевіча,"начальніка аддзялення берагавой аховы – камандзіра звяна пагранічных катэраў аддзела берагавой аховы 19-й пагранічнай групы пагранічнай службы, лейтэнанта",,,,,,,,,,,
Высоцкага Аляксандра Яўгеньевіча,"начальніка 4-га аддзела ўпраўлення па наркакантролю і процідзеянню гандлю людзьмі крымінальнай міліцыі Міністэрства ўнутраных спраў, падпалкоўніка міліцыі",,,,,,,,,,,
Высоцкага Андрэя Васільевіча,"аператыўнага дзяжурнага дзяжурнай змены цэнтра аператыўнага кіравання ўстановы ""Гомельскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Выхоту Кірыла Сяргеевіча,"начальніка 2-га аддзела 1-га цэнтра 581-га галоўнага цэнтра аналізу і прагнозу Узброеных Сіл, падпалкоўніка",,,,,,,,,,,
Вягеру Аляксандра Уладзіміравіча,"памочніка камандзіра ўзвода 1-га асобнага ўзвода палка патрульна-паставой службы міліцыі ўпраўлення ўнутраных спраў Гомельскага аблвыканкама, старшага прапаршчыка міліцыі",,,,,,,,,,,
Вялічку Ігара Віктаравіча,"бартавога авіяцыйнага тэхніка верталётнага атрада верталётнай эскадрыллі 50-й змешанай авіяцыйнай базы Ваенна-паветраных сіл і войскаў супрацьпаветранай абароны Узброеных Сіл, капітана",,,,,,,,,,,
Вярлова Віталія Генадзьевіча,"начальніка фінансава-эканамічнага аддзела ўстановы ""Віцебскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Вярэніча Васіля Андрэевіча,"дыспетчара цэнтра аператыўнага кіравання штаба ліквідацыі надзвычайных сітуацый Пінскага гаррайаддзела па надзвычайных сітуацыях установы ""Брэсцкае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Гаеўскага Аляксандра Міхайлавіча,"начальніка цыкла ваджэння і тэхнічнай падрыхтоўкі вучэбнага аддзялення 114-й гвардзейскай школы па падрыхтоўцы прапаршчыкаў і спецыялістаў харчовай службы 72-га гвардзейскага аб’яднанага вучэбнага цэнтра падрыхтоўкі прапаршчыкаў і малодшых спецыялістаў Узброеных Сіл, падпалкоўніка",,,,,,,,,,,
Гайдука Аляксея Аляксеевіча,"начальніка аддзела ідэалагічнай работы і кадравага забеспячэння ўпраўлення Дэпартамента выканання пакаранняў Міністэрства ўнутраных спраў па Брэсцкай вобласці, падпалкоўніка ўнутранай службы",,,,,,,,,,,
Галаўнёва Дзмітрыя Уладзіміравіча,"намесніка начальніка напрамку тэрытарыяльнай абароны ваеннага камісарыята Магілёўскай вобласці, падпалкоўніка",,,,,,,,,,,
Галенку Сяргея Мікалаевіча,"старшага вадзіцеля аўтамабільнага ўзвода аўтамабільнага батальёна 361-й базы аховы і абслугоўвання (цэнтральных органаў ваеннага кіравання) Узброеных Сіл, старшага прапаршчыка",,,,,,,,,,,
Галубовіча Ігара Валянцінавіча,"старшага оперупаўнаважанага па асабліва важных справах аддзела крымінальнага вышуку крымінальнай міліцыі ўпраўлення ўнутраных спраў Мінскага райвыканкама, падпалкоўніка міліцыі",,,,,,,,,,,
Галькевіча Аляксандра Фёдаравіча,"вадзіцеля дзяжурнай змены вучэбнай пажарнай аварыйна-выратавальнай часці дзяржаўнай установы адукацыі ""Інстытут перападрыхтоўкі і павышэння кваліфікацыі"" Міністэрства па надзвычайных сітуацыях, прапаршчыка ўнутранай службы",,,,,,,,,,,
Ганчара Сяргея Уладзіміравіча,"міліцыянера-вадзіцеля групы затрымання роты міліцыі Жодзінскага аддзела Дэпартамента аховы Міністэрства ўнутраных спраў, прапаршчыка міліцыі",,,,,,,,,,,
Ганчарова Юрыя Маркавіча,"камандзіра аддзялення пажарнай аварыйна-выратавальнай часці № 1 Добрушскага раённага аддзела па надзвычайных сітуацыях установы ""Гомельскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Ганчарука Сяргея Аляксандравіча,"старшага тэхніка групы тэхнічнага абслугоўвання і рамонту сродкаў сувязі вузла сувязі 16-й пагранічнай групы пагранічнай службы, старшага прапаршчыка",,,,,,,,,,,
Ганчарэнка Алену Генадзьеўну,"старшага інспектара групы камплектавання аддзела камплектавання ўпраўлення ідэалагічнай работы і кадравага забеспячэння ўпраўлення ўнутраных спраў Гродзенскага аблвыканкама, падпалкоўніка міліцыі",,,,,,,,,,,
Гапановіча Яўгенія Сцяпанавіча,"старшага оперупаўнаважанага аддзела крымінальнага вышуку крымінальнай міліцыі аддзела ўнутраных спраў Кобрынскага райвыканкама, маёра міліцыі",,,,,,,,,,,
Гарабюка Сяргея Віктаравіча,"намесніка начальніка аддзела галоўнага ўпраўлення ідэалагічнай работы і кадравага забеспячэння Дзяржаўнага пагранічнага камітэта, падпалкоўніка",,,,,,,,,,,
Гарадзецкага Уладзіміра Вітальевіча,"намесніка начальніка аддзялення сувязі штаба 5-й асобнай брыгады спецыяльнага прызначэння Узброеных Сіл, падпалкоўніка",,,,,,,,,,,
Гарбачэўскую Ірыну Уладзіміраўну,начальніка аддзела арганізацыі мытнага кантролю Віцебскай мытні,,,,,,,,,,,
Гарбунова Дзмітрыя Аляксандравіча,"намесніка начальніка аддзела матэрыяльна-гаспадарчага забеспячэння ўпраўлення тылавога забеспячэння Дэпартамента выканання пакаранняў Міністэрства ўнутраных спраў, падпалкоўніка ўнутранай службы",,,,,,,,,,,
Гарбунова Паўла Уладзіміравіча,"намесніка камандзіра па ўзбраенню – начальніка тэхнічнай часці 2287-га асобнага радыётэхнічнага батальёна 8-й радыётэхнічнай брыгады Заходняга аператыўна-тактычнага камандавання Ваенна-паветраных сіл і войскаў супрацьпаветранай абароны Узброеных Сіл, маёра",,,,,,,,,,,
Гарыновіч Вольгу Васільеўну,"намесніка начальніка фінансавага аддзела – начальніка аддзялення планавання, уліку і справаздачнасці цэнтра забеспячэння Дзяржаўнага пагранічнага камітэта, маёра",,,,,,,,,,,
Гаўрылава Андрэя Мікалаевіча,"намесніка камандзіра па ідэалагічнай рабоце 71-га асобнага пуцявога чыгуначнага батальёна 30-й асобнай чыгуначнай брыгады транспартных войскаў, капітана",,,,,,,,,,,
Гацко Эдуарда Леанідавіча,"начальніка Савецкага (г. Гомеля) аддзела Дэпартамента аховы Міністэрства ўнутраных спраў, падпалкоўніка міліцыі",,,,,,,,,,,
Герасёву Алену Яўгеньеўну,"памочніка начальніка аддзела кадраў і ўліку асабовага складу ўпраўлення ідэалагічнай работы і кадравага забеспячэння атрада пагранічнага кантролю ""Мінск"" пагранічнай службы, прапаршчыка",,,,,,,,,,,
Гесця Сяргея Львовіча,"старшага інспектара інспекцыі дзяржаўнага пажарнага нагляду Карэліцкага раённага аддзела па надзвычайных сітуацыях установы ""Гродзенскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", маёра ўнутранай службы",,,,,,,,,,,
Гецьманца Аляксандра Міхайлавіча,"кантралёра аддзялення пагранічнага кантролю 15-й пагранічнай групы пагранічнай службы, прапаршчыка",,,,,,,,,,,
Гіля Уладзіміра Канстанцінавіча,"старшага інспектара аддзела службы аператыўнага ўпраўлення 15-й пагранічнай групы пагранічнай службы, старшага прапаршчыка",,,,,,,,,,,
Гінько Аляксандра Віктаравіча,"дзяжурнага памочніка начальніка калоніі дзяжурнай службы папраўчай установы ""Папраўчая калонія № 13"" упраўлення Дэпартамента выканання пакаранняў Міністэрства ўнутраных спраў па Віцебскай вобласці, маёра ўнутранай службы",,,,,,,,,,,
Гогаля Станіслава Адамавіча,"намесніка начальніка ўстановы па наглядна-аператыўнай рабоце папраўчай установы адкрытага тыпу № 6 упраўлення Дэпартамента выканання пакаранняў Міністэрства ўнутраных спраў па Брэсцкай вобласці, маёра міліцыі",,,,,,,,,,,
Гольніка Ігара Васільевіча,"старшага выкладчыка спецыяльных дысцыплін вучэбнага аддзела дзяржаўнай установы адукацыі ""Ліцэй пры Гомельскім інжынерным інстытуце"" Міністэрства па надзвычайных сітуацыях, маёра ўнутранай службы",,,,,,,,,,,
Готту Аляксандра Іванавіча,"намесніка камандзіра – галоўнага інжынера вайсковай часці 01266 Узброеных Сіл, падпалкоўніка",,,,,,,,,,,
Грамяшкевіча Ігара Станіслававіча,"старшага афіцэра 1-га аддзела ўпраўлення ідэалагічнай работы Ваенна-паветраных сіл і войскаў супрацьпаветранай абароны Узброеных Сіл, падпалкоўніка",,,,,,,,,,,
Громак Святлану Леанідаўну,"старшага афіцэра аддзялення планавання ўпраўлення рэжыму і арганізацыйнага забеспячэння 16-й пагранічнай групы пагранічнай службы, старшага лейтэнанта",,,,,,,,,,,
Гружэўскага Андрэя Станіслававіча,"старшага тэхніка інжынерна-дарожнага ўзвода інжынерна-тэхнічнай групы 15-й пагранічнай групы пагранічнай службы, прапаршчыка",,,,,,,,,,,
Грыб Святлану Віктараўну,начальніка аддзела арганізацыйна-распарадчых дакументаў Мінскай рэгіянальнай мытні,,,,,,,,,,,
Грыкіса Васіля Пятровіча,начальніка аддзела арганізацыі мытнага кантролю і аналізу эфектыўнасці тэхналогій упраўлення арганізацыі мытнага кантролю Дзяржаўнага мытнага камітэта,,,,,,,,,,,
Грыца Андрэя Іванавіча,"старшага інспектара групы прапаганды і навучання Ваўкавыскага раённага аддзела па надзвычайных сітуацыях установы ""Гродзенскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", маёра ўнутранай службы",,,,,,,,,,,
Грыцаенку Андрэя Аляксандравіча,"старшага інжынера сектара галоўнага ўпраўлення рэжыму і арганізацыйнага забеспячэння Дзяржаўнага пагранічнага камітэта, падпалкоўніка",,,,,,,,,,,
Грышана Паўла Авініравіча,"старшага тэхніка аддзялення аддзела службы аператыўнага ўпраўлення 15-й пагранічнай групы пагранічнай службы, прапаршчыка",,,,,,,,,,,
Грышана Сяргея Міхайлавіча,"кантралёра аддзялення пагранічнага кантролю 15-й пагранічнай групы пагранічнай службы, старшага прапаршчыка",,,,,,,,,,,
Грышкевіча Сяргея Мікалаевіча,"міліцыянера-кінолага групы затрымання роты міліцыі Барысаўскага аддзела Дэпартамента аховы Міністэрства ўнутраных спраў, прапаршчыка міліцыі",,,,,,,,,,,
Грэцкага Сяргея Віктаравіча,"камандзіра роты матэрыяльнага забеспячэння 255-га асобнага радыётэхнічнага палка Заходняга аператыўнага камандавання Узброеных Сіл, лейтэнанта",,,,,,,,,,,
Грэчкіна Віталія Алегавіча,"старшага тэхніка аддзялення аддзела службы аператыўнага ўпраўлення 86-й пагранічнай групы пагранічнай службы, прапаршчыка",,,,,,,,,,,
Губскага Руслана Уладзіміравіча,"начальніка 1-га аддзела вайсковай часці 51886 Узброеных Сіл, падпалкоўніка",,,,,,,,,,,
Гудзілова Дзмітрыя Пятровіча,"афіцэра аддзела кадраў упраўлення ідэалагічнай работы і кадравага забеспячэння 86-й пагранічнай групы пагранічнай службы, капітана",,,,,,,,,,,
Гульмантовіч Маргарыту Мікалаеўну,"старшага афіцэра аддзела рэжымна-сакрэтнай дзейнасці ўпраўлення рэжыму і арганізацыйнага забеспячэння дзяржаўнай установы адукацыі ""Інстытут пагранічнай службы Рэспублікі Беларусь"", лейтэнанта",,,,,,,,,,,
Гуля Аляксандра Міхайлавіча,"дыспетчара цэнтра аператыўнага кіравання Брэсцкага раённага аддзела па надзвычайных сітуацыях установы ""Брэсцкае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Гурэцкую Святлану Канстанцінаўну,"старшага інжынера цэнтра інфарматыкі і камп’ютарызацыі пры ўстанове ""Віцебскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", маёра ўнутранай службы",,,,,,,,,,,
Гуткоўскага Сяргея Уладзіміравіча,"намесніка начальніка па дзяржаўнаму пажарнаму нагляду Калінкавіцкага раённага аддзела па надзвычайных сітуацыях установы ""Гомельскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", маёра ўнутранай службы",,,,,,,,,,,
Гуцера Юрыя Уладзіміравіча,"начальніка аддзялення дзяржаўнай аўтамабільнай інспекцыі міліцыі грамадскай бяспекі аддзела ўнутраных спраў Дрыбінскага райвыканкама, маёра міліцыі",,,,,,,,,,,
Давідовіча Андрэя Аляксандравіча,"фельчара медыцынскага пункта цэнтра тылавога забеспячэння 72-га гвардзейскага аб’яднанага вучэбнага цэнтра падрыхтоўкі прапаршчыкаў і малодшых спецыялістаў Узброеных Сіл, старшага прапаршчыка",,,,,,,,,,,
Давідовіча Вячаслава Віктаравіча,"міліцыянера-вадзіцеля аператыўна-дзяжурнай службы міліцыі грамадскай бяспекі аддзела ўнутраных спраў Любанскага райвыканкама, прапаршчыка міліцыі",,,,,,,,,,,
Дайліду Андрэя Мікалаевіча,"намесніка начальніка ўпраўлення тылавога забеспячэння Дэпартамента выканання пакаранняў Міністэрства ўнутраных спраў, палкоўніка ўнутранай службы",,,,,,,,,,,
Дакуку Дзяніса Анатольевіча,"намесніка начальніка 4-га следчага аддзялення (г. Заслаўе) Мінскага раённага аддзела Следчага камітэта, падпалкоўніка юстыцыі",,,,,,,,,,,
Далганава Леаніда Іванавіча,"начальніка гадавальніка службовых сабак Бабруйскага аддзела Дэпартамента аховы Міністэрства ўнутраных спраў, маёра міліцыі",,,,,,,,,,,
Далініна Андрэя Віктаравіча,"намесніка камандзіра па ідэалагічнай рабоце вайсковай часці 5526 унутраных войскаў Міністэрства ўнутраных спраў, маёра",,,,,,,,,,,
Далінніка Дзмітрыя Аляксандравіча,"намесніка начальніка аддзела па расследаванню злачынстваў у сферы эканомікі следчага ўпраўлення ўпраўлення Следчага камітэта па г. Мінску, маёра юстыцыі",,,,,,,,,,,
Даніленку Аляксандра Міхайлавіча,"начальніка аддзела інжынернага забеспячэння службы аховы дзяржаўнай граніцы аператыўнага ўпраўлення 16-й пагранічнай групы пагранічнай службы, падпалкоўніка",,,,,,,,,,,
Данісевіча Віталя Мар’янавіча,"галоўнага інспектара-рэвізора рэспубліканскай кантрольна-рэвізійнай інспекцыі пры Міністэрстве па надзвычайных сітуацыях, падпалкоўніка ўнутранай службы",,,,,,,,,,,
Дараткевіча Юрыя Іванавіча,"галоўнага спецыяліста аддзела матэрыяльна-тэхнічнага забеспячэння і будаўніцтва ўстановы ""Брэсцкае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Дашчынскую Наталлю Эдуардаўну,старшага інспектара аддзела арганізацыі правядзення мытных аперацый Мінскай цэнтральнай мытні,,,,,,,,,,,
Дваранскага Ігара Міхайлавіча,"аператыўнага дзяжурнага каардынацыйнага цэнтра пошуку і выратавання дзяржаўнай авіяцыйнай аварыйна-выратавальнай установы ""АВІЯЦЫЯ"" Міністэрства па надзвычайных сітуацыях, падпалкоўніка ўнутранай службы",,,,,,,,,,,
Двужыльнага Віталя Мікалаевіча,"начальніка аддзела тылавога забеспячэння ўпраўлення фінансавага і тылавога забеспячэння ўпраўлення Следчага камітэта па Магілёўскай вобласці, падпалкоўніка юстыцыі",,,,,,,,,,,
Дзенісенку Генадзія Аляксандравіча,"малодшага оперупаўнаважанага аператыўна-пошукавага аддзела ўпраўлення ўнутраных спраў Гомельскага аблвыканкама, старшага прапаршчыка міліцыі",,,,,,,,,,,
Дзергачова Аляксандра Аляксандравіча,"старшага інжынера аддзела арганізацыйнага забеспячэння дзяржаўнай сістэмы папярэджвання і ліквідацыі надзвычайных сітуацый і грамадзянскай абароны ўстановы ""Віцебскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", маёра ўнутранай службы",,,,,,,,,,,
Дзермана Аляксандра Іванавіча,"вадзіцеля пажарнага аварыйна-выратавальнага паста № 15 Баранавіцкага гаррайаддзела па надзвычайных сітуацыях установы ""Брэсцкае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", старшыну ўнутранай службы",,,,,,,,,,,
