fіo,dolzhnost,,,,,,,,,,,regіon
Шэлеста Рамана Сяргеевіча,"афіцэра разведвальнай групы асобага атрада спецыяльнага прызначэння 5-й асобнай брыгады спецыяльнага прызначэння Узброеных Сіл, капітана",,,,,,,,,,,
Яніева Дзмітрыя Валер’евіча,"старшага тэхніка аўтамабільнай роты аўтамабільнага батальёна 361-й базы аховы і абслугоўвання (цэнтральных органаў ваеннага кіравання) Узброеных Сіл, старшага прапаршчыка",,,,,,,,,,,
Бессмертнага Сяргея Філіпавіча,"намесніка начальніка крымінальнай міліцыі па аператыўна-вышуковай рабоце галоўнага ўпраўлення ўнутраных спраў Мінскага гарвыканкама, палкоўніка міліцыі",,,,,,,,,,,
Дзіхцярука Дзяніса Мікалаевіча,"старшага оперупаўнаважанага 1-га аддзела 2-га ўпраўлення галоўнага ўпраўлення па барацьбе з арганізаванай злачыннасцю і карупцыяй Міністэрства ўнутраных спраў, маёра міліцыі",,,,,,,,,,,
Зубарава Сяргея Віктаравіча,"старшага оперупаўнаважанага па асабліва важных справах 2-га аддзела 10-га ўпраўлення галоўнага ўпраўлення па барацьбе з арганізаванай злачыннасцю і карупцыяй Міністэрства ўнутраных спраў, падпалкоўніка міліцыі",,,,,,,,,,,
Казарана Льва Завенавіча,"начальніка 2-га аддзела 10-га ўпраўлення галоўнага ўпраўлення па барацьбе з арганізаванай злачыннасцю і карупцыяй Міністэрства ўнутраных спраў, падпалкоўніка міліцыі",,,,,,,,,,,
Сакалова Вадзіма Барысавіча,"старшага оперупаўнаважанага па асабліва важных справах 2-га аддзела 2-га ўпраўлення галоўнага ўпраўлення па барацьбе з арганізаванай злачыннасцю і карупцыяй Міністэрства ўнутраных спраў, падпалкоўніка міліцыі",,,,,,,,,,,
Старанцава Аляксея Сяргеевіча,"следчага па асабліва важных справах аддзела па расследаванні злачынстваў у сферы эканомікі следчага ўпраўлення ўпраўлення Следчага камітэта па Віцебскай вобласці, падпалкоўніка юстыцыі",,,,,,,,,,,
Саладуху Ілью Алегавіча,"начальніка пагранічнай заставы 86-й пагранічнай групы пагранічнай службы, маёра",,,,,,,,,,,
Андрыевіча Мікалая Віктаравіча,"начальніка Бярэзінскага раённага аддзела па надзвычайных сітуацыях установы ""Мінскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Арашкевіча Мікалая Уладзіміравіча,"начальніка Лунінецкага раённага аддзела па надзвычайных сітуацыях установы ""Брэсцкае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Аўкапашвілі Аляксандра Дзмітрыевіча,"начальніка пажарнага аварыйна-выратавальнага паста № 11 Гродзенскага раённага аддзела па надзвычайных сітуацыях установы ""Гродзенскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", старшага прапаршчыка ўнутранай службы",,,,,,,,,,,
Блінкова Барыса Васільевіча,"камандзіра аддзялення пажарнага аварыйна-выратавальнага паста № 14 Касцюковіцкага раённага аддзела па надзвычайных сітуацыях установы ""Магілёўскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", старшага прапаршчыка ўнутранай службы",,,,,,,,,,,
Вараву Ігара Алегавіча,"начальніка цэнтра прапаганды, навучання і сацыякультурнай дзейнасці пры ўстанове ""Мінскае гарадское ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Варыцкага Ігара Уладзіміравіча,"камандзіра аддзялення пажарнай аварыйна-выратавальнай часці № 1 Пружанскага раённага аддзела па надзвычайных сітуацыях установы ""Брэсцкае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Вечара Сяргея Сяргеевіча,"старшага памочніка аператыўнага дзяжурнага дзяжурнай змены цэнтра аператыўнага кіравання ўстановы ""Мінскае гарадское ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", старшага лейтэнанта ўнутранай службы",,,,,,,,,,,
Гарэльскага Мікалая Валер’евіча,"камандзіра аддзялення пажарнай аварыйна-выратавальнай часці № 1 Веткаўскага раённага аддзела па надзвычайных сітуацыях установы ""Гомельскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Гулая Сяргея Валер’евіча,"камандзіра аддзялення пажарнага аварыйна-выратавальнага атрада ўстановы ""Магілёўскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", старшага прапаршчыка ўнутранай службы",,,,,,,,,,,
Дзержановіча Васілія Васільевіча,"старшага інструктара газадымаахоўнай службы пажарнай аварыйна-выратавальнай часці № 19 Ленінскага раённага аддзела па надзвычайных сітуацыях установы ""Мінскае гарадское ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", старшага прапаршчыка ўнутранай службы",,,,,,,,,,,
Жыха Мікалая Аркадзьевіча,"камандзіра аддзялення пажарнай аварыйна-выратавальнай часці № 1 Навагрудскага раённага аддзела па надзвычайных сітуацыях установы ""Гродзенскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Казакова Сяргея Данілавіча,"першага намесніка начальніка Добрушскага раённага аддзела па надзвычайных сітуацыях установы ""Гомельскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Казлова Віктара Алегавіча,"намесніка начальніка па аператыўна-тактычнай рабоце Калінкавіцкага раённага аддзела па надзвычайных сітуацыях установы ""Гомельскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Каліноўскага Сяргея Мікалаевіча,"камандзіра аддзялення пажарнай аварыйна-выратавальнай часці № 1 Аршанскага гаррайаддзела па надзвычайных сітуацыях установы ""Віцебскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", старшага сяржанта ўнутранай службы",,,,,,,,,,,
